claim_group,figure_or_table_candidate,result_id,experiment,backbone,model_size,task,target,reward,policy,probe,feature_set,level,layer,timestep,horizon,K,n_problem,n_state,n_candidate,n_example,metric,baseline,hidden,delta,ci_low,ci_high,p_value,stat_method,folds_seeds,multiple_testing,status,strength,paper_use,source_path,source_key,script_path,notes
state_future_utility,Figure 1 / Table 1,VREAD_HIDDEN_ONLY_R2,Nemotron rollout-value readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,ridge/logistic linear probe,validation-selected layer-18 H_m,state,18,all six record points,completion,8,800,4411,,4411,R2,0.3379652373,0.4812391128,0.1432738755,0.08473917201,0.2042411956,,"prompt-cluster bootstrap, 10,000 resamples",480/120/200 prompt train/validation/test; K=8 rollouts,layer selected on validation only,POST_HOC_AUDIT_VALID_CURRENT,HEADLINE,Figure 1; abstract; main text,data/v_readout_results.json; data/v_audit.json,metrics.hidden.r2; best_ci.dR2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Hidden-only is authoritative; no test-set layer selection.
state_future_utility,Figure 1 / Table 1,VREAD_HIDDEN_ONLY_AUC,Nemotron rollout-value readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,ridge/logistic linear probe,validation-selected layer-18 H_m,state,18,all six record points,completion,8,800,4411,,4411,AUC,0.8229169832,0.8895539419,0.06663695872,0.0377835858,0.09815736486,,"prompt-cluster bootstrap, 10,000 resamples",480/120/200 prompt train/validation/test; K=8 rollouts,layer selected on validation only,POST_HOC_AUDIT_VALID_CURRENT,HEADLINE,Figure 1; abstract; main text,data/v_readout_results.json; data/v_audit.json,metrics.hidden.auc; best_ci.dAUC,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Hidden-only is authoritative; no test-set layer selection.
state_future_utility_ablation,Appendix,VREAD_CHEAP_PLUS_HIDDEN_R2,Nemotron rollout-value readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,two-block linear probe,cheap + layer-18 H_m,state,18,,completion,8,800,4411,,4411,R2,0.3379652373,0.4696954335,0.1317301962,,,,held-out prompt split,480/120/200; K=8,layer selected on validation only,VALID_CURRENT_ABLATION,SUPPORTING,Appendix,data/v_readout_results.json,delta_r2,iclr_direction1/build_iclr_evidence.py,"RECOMPUTED_FROM_SAVED_METRICS. Explains old +0.1317/+0.0655 values; not superseded, but not headline."
state_future_utility_ablation,Appendix,VREAD_CHEAP_PLUS_HIDDEN_AUC,Nemotron rollout-value readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,two-block linear probe,cheap + layer-18 H_m,state,18,,completion,8,800,4411,,4411,AUC,0.8229169832,0.8884601491,0.06554316599,,,,held-out prompt split,480/120/200; K=8,layer selected on validation only,VALID_CURRENT_ABLATION,SUPPORTING,Appendix,data/v_readout_results.json,delta_auc,iclr_direction1/build_iclr_evidence.py,"RECOMPUTED_FROM_SAVED_METRICS. Explains old +0.1317/+0.0655 values; not superseded, but not headline."
temporal_state_future_utility,Figure 2,VREAD_T0_R2,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.1,completion,8,800,,,,R2,0.2769277282,0.3940775686,0.1171498404,0.02672672205,0.2169596345,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[0],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T0_AUC,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.1,completion,8,800,,,,AUC,0.7994696042,0.8637290902,0.06425948592,0.02420802005,0.1091443594,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[0],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T1_R2,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.25625,completion,8,800,,,,R2,0.338603753,0.4155065228,0.07690276977,0.004452626928,0.1547350466,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[1],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T1_AUC,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.25625,completion,8,800,,,,AUC,0.8135038363,0.8641432225,0.05063938619,0.018608416,0.08565118382,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[1],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T2_R2,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.4,completion,8,800,,,,R2,0.3476276739,0.4778968682,0.1302691943,0.05537385476,0.2089932887,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[2],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T2_AUC,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.4,completion,8,800,,,,AUC,0.829375,0.8805208333,0.05114583333,0.01270897251,0.09318210499,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[2],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
